2024-07-17 08:10:32,508 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Configure stats pid to 44950
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Loading settings from /home/yuzhen/.config/wandb/settings
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Loading settings from /home/yuzhen/Desktop/ml_learn/wandb_self_learn/wandb/settings
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_core': 'true'}
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'wandb_self_learn/test.py', 'program_abspath': '/home/yuzhen/Desktop/ml_learn/wandb_self_learn/test.py', 'program': '/home/yuzhen/Desktop/ml_learn/wandb_self_learn/test.py'}
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_init.py:_log_setup():529] Logging user logs to /home/yuzhen/Desktop/ml_learn/wandb_self_learn/wandb/run-20240717_081032-sna6t1gy/logs/debug.log
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_init.py:_log_setup():530] Logging internal logs to /home/yuzhen/Desktop/ml_learn/wandb_self_learn/wandb/run-20240717_081032-sna6t1gy/logs/debug-internal.log
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_init.py:init():569] calling init triggers
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_init.py:init():619] starting backend
2024-07-17 08:10:32,509 INFO    MainThread:44950 [wandb_init.py:init():623] setting up manager
2024-07-17 08:10:32,510 INFO    MainThread:44950 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-17 08:10:32,510 INFO    MainThread:44950 [wandb_init.py:init():631] backend started and connected
2024-07-17 08:10:32,511 INFO    MainThread:44950 [wandb_init.py:init():720] updated telemetry
2024-07-17 08:10:32,514 INFO    MainThread:44950 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-17 08:10:33,565 INFO    MainThread:44950 [wandb_run.py:_on_init():2402] communicating current version
2024-07-17 08:10:33,566 INFO    MainThread:44950 [wandb_run.py:_on_init():2411] got version response 
2024-07-17 08:10:33,566 INFO    MainThread:44950 [wandb_init.py:init():804] starting run threads in backend
2024-07-17 08:10:33,703 INFO    MainThread:44950 [wandb_run.py:_console_start():2380] atexit reg
2024-07-17 08:10:33,703 INFO    MainThread:44950 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-17 08:10:33,703 INFO    MainThread:44950 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-17 08:10:33,703 INFO    MainThread:44950 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-17 08:10:33,704 INFO    MainThread:44950 [wandb_init.py:init():847] run started, returning control to user process
2024-07-17 08:10:33,705 INFO    MainThread:44950 [wandb_run.py:_finish():2109] finishing run yuzhench-university-of-michigan/basic-intro/sna6t1gy
2024-07-17 08:10:33,705 INFO    MainThread:44950 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-17 08:10:33,705 INFO    MainThread:44950 [wandb_run.py:_restore():2332] restore
2024-07-17 08:10:33,705 INFO    MainThread:44950 [wandb_run.py:_restore():2338] restore done
2024-07-17 08:10:39,044 INFO    MainThread:44950 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-17 08:10:39,044 INFO    MainThread:44950 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
2024-07-17 08:10:39,050 INFO    MainThread:44950 [wandb_run.py:_footer_sync_info():3950] logging synced files
